YearWeekISO,ReportingCountry,FirstDose,SecondDose,Population
2021-05-10,FR,10063584,4230864,67320216
2021-05-10,HR,360255,134695,4058165
2021-05-10,HU,581051,407611,9769526
2021-05-10,IE,444830,217145,4964440
2021-05-10,IS,14172,21408,364134
2021-05-10,IT,6744733,3448872,59641488
2021-05-10,LI,1222,2738,38747
2021-05-10,LT,259693,176091,2794090
2021-05-10,LU,48669,38194,626108
2021-05-10,LV,144330,81066,1907675
2021-05-10,MT,49236,48956,514564
2021-05-10,NL,691849,316474,17407585
2021-05-10,NO,184867,251656,5367580
2021-05-10,PL,5208652,3351000,37958138
2021-05-10,PT,930258,870930,10295909
2021-05-10,RO,597948,898272,19328838
2021-05-10,SE,835137,441151,10327589
2021-05-10,SI,142558,54405,2095861
2021-05-10,SK,306733,163166,5457873
2021-05-17,AT,727972,362168,8901064
2021-05-17,BE,926897,632985,11522440
2021-05-17,BG,116005,174476,6951482
2021-05-17,CY,65015,105527,888005
2021-05-17,CZ,852180,219976,10693939
2021-05-17,DE,5419472,4835991,83166711
2021-05-17,DK,423250,329423,5822763
2021-05-17,EE,71520,55045,1328976
2021-05-17,EL,1291880,585903,10718565
2021-05-17,ES,3005759,1738616,47332614
2021-05-17,FI,1074420,570040,5525292
2021-05-17,FR,11208480,3500712,67320216
2021-05-17,HR,299680,139141,4058165
2021-05-17,HU,730842,507734,9769526
2021-05-17,IE,482630,194081,4964440
2021-05-17,IS,31780,24972,364134
2021-05-17,IT,6191224,4177249,59641488
2021-05-17,LI,1776,3748,38747
2021-05-17,LT,204621,212217,2794090
2021-05-17,LU,42514,26977,626108
2021-05-17,LV,104182,111683,1907675
2021-05-17,MT,35566,69595,514564
2021-05-17,NL,509707,522951,17407585
2021-05-17,NO,61227,441112,5367580
2021-05-17,PL,4642412,3493856,37958138
2021-05-17,PT,997721,596088,10295909
2021-05-17,RO,405479,758571,19328838
2021-05-17,SE,761530,628213,10327589
2021-05-17,SI,146595,79995,2095861
2021-05-17,SK,329808,169126,5457873
2021-05-24,AT,514212,471108,8901064
2021-05-24,BE,507024,813343,11522440
2021-05-24,BG,83338,102947,6951482
2021-05-24,CY,47138,98071,888005
2021-05-24,CZ,690751,463838,10693939
2021-05-24,DE,4169315,5507319,83166711
2021-05-24,DK,522466,166921,5822763
2021-05-24,EE,63502,62841,1328976
2021-05-24,EL,1176321,600236,10718565
2021-05-24,ES,2632930,2032283,47332614
2021-05-24,FI,973228,656398,5525292
2021-05-24,FR,9414794,4277058,67320216
2021-05-24,HR,200985,182799,4058165
2021-05-24,HU,231602,1154926,9769526
2021-05-24,IE,366322,298636,4964440
2021-05-24,IS,14518,24855,364134
2021-05-24,IT,6092910,4548011,59641488
2021-05-24,LI,2310,2150,38747
2021-05-24,LT,225201,184180,2794090
2021-05-24,LU,13906,37140,626108
2021-05-24,LV,90127,144041,1907675
2021-05-24,MT,20564,69542,514564
2021-05-24,NL,491293,518991,17407585
2021-05-24,NO,63875,491210,5367580
2021-05-24,PL,3437936,4347242,37958138
2021-05-24,PT,853875,847316,10295909
2021-05-24,RO,4631010,4161948,19328838
2021-05-24,SE,589034,875741,10327589
2021-05-24,SI,67765,128416,2095861
2021-05-24,SK,300330,200359,5457873
2021-05-31,AT,623128,543434,8901064
2021-05-31,BE,1012684,834466,11522440
2021-05-31,BG,78638,144771,6951482
2021-05-31,CY,33511,73353,888005
2021-05-31,CZ,727610,596090,10693939
2021-05-31,DE,4015533,5935812,83166711
2021-05-31,DK,513914,231007,5822763
2021-05-31,EE,57272,62878,1328976
2021-05-31,EL,1151760,831489,10718565
2021-05-31,ES,3158900,2955364,47332614
2021-05-31,FI,1058304,727124,5525292
2021-05-31,FR,10236248,5942128,67320216
2021-05-31,HR,119816,159367,4058165
2021-05-31,HU,219175,725643,9769526
2021-05-31,IE,335646,250977,4964440
2021-05-31,IS,32516,17139,364134
2021-05-31,IT,8652835,2392910,59641488
2021-05-31,LI,3398,2184,38747
2021-05-31,LT,301827,266988,2794090
2021-05-31,LU,45123,42097,626108
2021-05-31,LV,68664,161145,1907675
2021-05-31,MT,16996,45688,514564
2021-05-31,NL,580158,603888,17407585
2021-05-31,NO,353644,379522,5367580
2021-05-31,PL,3810108,5051448,37958138
2021-05-31,PT,871600,856502,10295909
2021-05-31,RO,407451,856919,19328838
2021-05-31,SE,650267,1115876,10327589
2021-05-31,SI,126951,138417,2095861
2021-05-31,SK,207461,277562,5457873
2021-06-07,AT,593502,679400,8901064
2021-06-07,BE,1092515,1087386,11522440
2021-06-07,BG,76920,149913,6951482
2021-06-07,CY,47720,60274,888005
2021-06-07,CZ,704671,694346,10693939
2021-06-07,DE,4375584,7781339,83166711
2021-06-07,DK,651687,233480,5822763
2021-06-07,EE,45076,93039,1328976
2021-06-07,EL,835785,1222635,10718565
2021-06-07,ES,3674732,3246596,47332614
2021-06-07,FI,1305308,745630,5525292
2021-06-07,FR,9110388,7037536,67320216
2021-06-07,HR,121150,303740,4058165
2021-06-07,HU,153580,399134,9769526
2021-06-07,IE,308625,295656,4964440
2021-06-07,IS,53033,33133,364134
2021-06-07,IT,9367829,2320202,59641488
2021-06-07,LI,4498,1280,38747
2021-06-07,LT,172373,229752,2794090
2021-06-07,LU,34093,65029,626108
2021-06-07,LV,70935,121280,1907675
2021-06-07,MT,21726,46790,514564
2021-06-07,NL,1017497,641416,17407585
2021-06-07,NO,317090,331832,5367580
2021-06-07,PL,3522940,5950046,37958138
2021-06-07,PT,1176231,677394,10295909
2021-06-07,RO,336219,533962,19328838
2021-06-07,SE,808863,1246037,10327589
2021-06-07,SI,102135,127732,2095861
2021-06-07,SK,134297,349248,5457873
2021-06-14,AT,509910,684576,8901064
2021-06-14,BE,1401253,675114,11522440
2021-06-14,BG,66507,100628,6951482
2021-06-14,CY,57114,61708,888005
2021-06-14,CZ,508280,876399,10693939
2021-06-14,DE,4289240,7590641,83166711
2021-06-14,DK,588405,284346,5822763
2021-06-14,EE,38500,102978,1328976
