,ReportingCountry,YearWeekISO,first_dose_100k,second_dose_100k,cmltve_first_dose,cmltve_second_dose
195,CY,2021-03-15,802.5855710271902,986.5935439552705,21393.911070320548,9067.966959645497
196,CY,2021-03-22,2770.3672839679957,891.0985861566095,24164.278354288545,9959.065545802106
197,CY,2021-03-29,1827.241963727682,1317.3349249159633,25991.520318016228,11276.40047071807
198,CY,2021-04-05,4159.3234272329555,1235.9164644343223,30150.843745249185,12512.316935152392
199,CY,2021-04-12,4417.880529951971,1290.1954380887498,34568.72427520116,13802.512373241141
200,CY,2021-04-19,6501.765192763553,565.1995202729714,41070.48946796471,14367.711893514113
201,CY,2021-04-26,9853.09767399958,2065.303686353117,50923.58714196429,16433.01557986723
202,CY,2021-05-03,11416.377160038512,3443.449079678605,62339.9643020028,19876.464659545836
203,CY,2021-05-10,13096.66049177651,5598.166676989431,75436.62479377931,25474.63133653527
204,CY,2021-05-17,7321.4677845282395,11883.604258985028,82758.09257830755,37358.235595520295
205,CY,2021-05-24,5308.303444237364,11043.96934701944,88066.39602254491,48402.204942539734
206,CY,2021-05-31,3773.740012725154,8260.426461562716,91840.13603527007,56662.63140410245
207,CY,2021-06-07,5373.843615745406,6787.574394288319,97213.97965101548,63450.20579839077
208,CY,2021-06-14,6431.7205421140625,6949.059971509169,103645.70019312955,70399.26576989994
209,CY,2021-06-21,2103.2539231198025,6325.4148343759325,105748.95411624936,76724.68060427587
210,CY,2021-06-28,2466.202329941836,8562.226564039616,108215.15644619119,85286.90716831549
211,CY,2021-07-05,2648.9715711060185,9776.071080680853,110864.1280172972,95062.97824899634
212,CY,2021-07-12,4914.386743317887,4083.648177656657,115778.51476061509,99146.62642665299
213,CY,2021-07-19,4089.053552626392,2746.6061564968663,119867.56831324147,101893.23258314986
214,CY,2021-07-26,3310.9047809415492,2820.4796144165857,123178.47309418302,104713.71219756645
215,CY,2021-08-02,3080.951120770717,4376.889769764811,126259.42421495373,109090.60196733125
216,CY,2021-08-09,1842.3319688515262,3743.3347785203914,128101.75618380526,112833.93674585165
217,CY,2021-08-16,1731.5217819719483,2991.76243377008,129833.27796577722,115825.69917962173
218,CY,2021-08-23,1440.8702653701278,2917.325915957681,131274.14823114735,118743.02509557942
219,CY,2021-08-30,1379.9471849820668,1825.8906199852477,132654.09541612942,120568.91571556467
220,CY,2021-09-06,1606.4098738182777,1728.4812585514721,134260.5052899477,122297.39697411614
221,CY,2021-09-13,1063.2823013383938,1391.4336067927547,135323.7875912861,123688.83058090889
222,CY,2021-09-20,670.8295561398866,1554.0453037989653,135994.61714742598,125242.87588470786
223,CY,2021-09-27,385.8086384648735,1465.4196766910095,136380.42578589084,126708.29556139886
224,CY,2021-10-04,538.28525740283,1136.7053113439677,136918.71104329368,127845.00087274282
225,CY,2021-10-11,418.4661122403591,770.716381101458,137337.17715553404,128615.71725384428
226,CY,2021-10-18,557.4292937539768,443.9164193895305,137894.60644928803,129059.63367323381
227,CY,2021-10-25,445.8308230246451,530.6276428623713,138340.43727231267,129590.26131609618
228,CY,2021-11-01,477.58740097184153,497.40710919420496,138818.02467328453,130087.66842529038
229,CY,2021-11-08,597.8569940484567,540.6501089520891,139415.881667333,130628.31853424247
230,CY,2021-11-15,821.7296073783368,495.3800935805542,140237.61127471132,131123.69862782303
231,CY,2021-11-22,1311.9295499462278,650.4467880248422,141549.54082465754,131774.1454158479
232,CY,2021-11-29,1414.7442863497388,844.4772270426406,142964.28511100728,132618.62264289052
233,CY,2021-12-06,1093.800147521692,1044.363488944319,144058.08525852897,133662.98613183483
234,CY,2021-12-13,1093.124475650475,1523.302233658594,145151.20973417946,135186.2883654934
235,CY,2021-12-20,604.0506528679455,1101.1199261265422,145755.2603870474,136287.40829161994
236,CY,2021-12-27,593.6903508426192,1338.3933649022247,146348.95073789003,137625.80165652218
237,CY,2022-01-03,723.7571860518802,1167.11054554873,147072.70792394193,138792.9122020709
238,CY,2022-01-10,725.4463657299226,732.9913682918453,147798.15428967186,139525.90357036275
239,CY,2022-01-17,534.2312261755285,576.348106148051,148332.3855158474,140102.2516765108
240,CY,2022-01-24,380.2906515166018,763.1713785395353,148712.676167364,140865.4230550503
241,CY,2022-01-31,271.9579281648189,724.3202459445613,148984.63409552883,141589.7433009949
242,CY,2022-02-07,83.55808807382843,240.20135021762263,149068.19218360266,141829.9446512125
243,CY,2022-02-14,139.41362942776223,381.52938328049964,149207.60581303042,142211.474034493
